"You updated your password.","Your password has been updated.",module,Magento_Customer
"Could not save company. Please select newsletter.","Could not save company. Please select newsletter."
"Could not save company. Please select whether company have DBA.","Could not save company. Please select whether company have DBA."
"Could not save company. Please enter company DBA name.","Could not save company. Please enter company DBA name."
"Could not save company. Please enter resale certificate number.","Could not save company. Please enter resale certificate number."
"Could not save company. Please select business type.","Could not save company. Please select business type."
"Could not save company. Please enter number of stores.","Could not save company. Please enter number of stores."
"Could not save company. Please enter square footage per store.","Could not save company. Please enter square footage per store."
"Could not save company. Please select types of projects.","Could not save company. Please select types of projects."
"Could not save company. Please select number of jobs per year.","Could not save company. Please select number of jobs per year."
"Could not save company. Please enter first name.","Could not save company. Please enter first name."
"Could not save company. Please enter last name.","Could not save company. Please enter last name."
