"My Catalogs.","My Catalogs."
"Create New Catalog","Create New Catalog"
"Which project will this catalog belong to?","Which project will this catalog belong to?"
"My Favorites","My Favorites"
"No catalogs found.","No catalogs found."
"Invalid catalog details","Invalid catalog details"
"New Catalog","New Catalog"
"FRONT COVER","FRONT COVER"
"Logo","Logo"
"LOGO","LOGO"
"Catalog Title","Catalog Title"
"Additional Information","Additional Information"
"No Image uploaded","No Image uploaded"
"Image uploaded","Image uploaded"
"Please select image file.","Please select image file."
"The uploaded file exceeds the upload max filesize of 2MB.","The uploaded file exceeds the upload max filesize of 2MB."
"Please select one of following file types: %s.","Please select one of following file types: %s."
"The uploaded file exceeds the upload max filesize of 2MB.","The uploaded file exceeds the upload max filesize of 2MB."
"The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form.","The uploaded file exceeds the MAX_FILE_SIZE directive that was specified in the HTML form."
"The uploaded file was only partially uploaded","The uploaded file was only partially uploaded"
"No file was uploaded.","No file was uploaded."
"Missing a temporary folder.","Missing a temporary folder."
"Failed to write file to disk","Failed to write file to disk."
"File upload stopped by extension.","File upload stopped by extension."
"File cannot be saved to path: %s","File cannot be saved to path: %s"
"File not found!","File not found!"
"BACK COVER","BACK COVER"
"Continue","Continue"
"Cancel","Cancel"
"Catalog details are saved!","Catalog details are saved!"
"Unable to save catalog details.","Unable to save catalog details."
"Name","Name"
"Phone","Phone"
"Website URL","Website URL"
"Company Name","Company Name"
"Date Created","Date Created"
"Project:","Project:"
"Edit","Edit"
"Delete","Delete"
"Download","Download"
"Print preview","Print preview"
"Create Catalog Pages","Create Catalog Pages"
"Delete Catalog","Delete Catalog"
"You are about to delete your catalog. This action cannot be undone. Do you want to proceed?","You are about to delete your catalog. This action cannot be undone. Do you want to proceed?"
"Unable to delete catalog. Please try again later.","Unable to delete catalog. Please try again later."
"Email","Email"
"Could not delete the catalog: %1","Could not delete the catalog: %1"
"Catalog deleted successfully.","Catalog deleted successfully."
"Recipient","Recipient"
"Message","Message"
"Send Email","Send Email"
"Cancel","Cancel"
"Unable to send email catalog. Please try again later.","Unable to send email catalog. Please try again later."
"Help","Help"
"Add Page","Add Page"
"Delete Page","Delete Page"
"Create Catalog Help","Create Catalog Help"
"Edit Cover","Edit Cover"
"BACK","BACK"
"Price Multiplier","Price Multiplier"
"Action","Action"
"Print","Print"
"Create PDF","Create PDF"
"Delete Catalog","Delete Catalog"
"Hide Pricing","Hide Pricing"
"Save","Save"
"Item #","Item #"
"Price:","Price:"
"Layout","Layout"
"Delete Page","Delete Page"
"Are you sure you want to delete this page?","Are you sure you want to delete this page?"
"Error, page doesn't exists.","Error, page doesn't exists."
"Catalog page deleted successfully.","Catalog page deleted successfully."
"Unable to find my-catalog with ID %s","Unable to find my-catalog with ID %s"
"This catalog no longer exists.","This catalog no longer exists."
"Create New Page","Create New Page"
"You've reached the end of the pages list. Do you want to create new page?","You've reached the end of the pages list. Do you want to create new page?"
"Time Created","Time Created"
"No shared catalogs found.","No shared catalogs found."
"Hide Prices","Hide Prices"
"Show Prices","Show Prices"
