"Order Create/Update","Order Create/Update"
"Empty message or message is not in valid json format.","Empty message or message is not in valid json format."
"No customer found. Skipping order.","No customer found. Skipping order."
"Can not create/update order as customer does not exists in Magento system. Skipping Order.","Can not create/update order as customer does not exists in Magento system. Skipping Order."
"Invalid order status %1.","Invalid order status %1."
"Order data like payment, total, address, etc. is/are missing to create/update order.","Order data like payment, total, address, etc. is/are missing to create/update order."
"Can not create order as order items are missing for order #%1.","Can not create order as order items are missing for order #%1."
"Billing address detail is not valid or missing some data for order #%1.","Billing address detail is not valid or missing some data for order #%1."
"Shipping Address detail is not valid or missing some data for order #%1","Shipping Address detail is not valid or missing some data for order #%1"
"Unable to create/update order for #%1","Unable to create/update order for #%1"
"An error occurred while creating/updating order #%1.","An error occurred while creating/updating order #%1."
"Product SKU (%1) does not exists. Skipping order.","Product SKU (%1) does not exists. Skipping order."
"Success: Order created/updated #%1 (%2).","Success: Order created/updated #%1 (%2)."
"Invoice/Shipment Create/Update","Invoice/Shipment Create/Update"
"Empty request or error in invoice/shipment request data.","Empty request or error in invoice/shipment request data."
"The order is no longer exists #%1.","The order is no longer exists #%1."
"Unable to create invoice of the order #%1","Unable to create invoice of the order #%1"
"The order does not allow an invoice to be created for order #%1","The order does not allow an invoice to be created for order #%1"
"Invoice Generated.","Invoice Generated."
"Company Update","Company Update"
"Company does not exists in Magento.","Company does not exists in Magento."
"Company %1 is updated successfully in Magento.","Company %1 is updated successfully in Magento."
"Failure: Unable to create order for quote #%1.","Failure: Unable to create order for quote #%1."
"Can not make operation because store is not exists.","Can not make operation because store is not exists."
"Product(s) data is not valid.","Product(s) data is not valid."
"Can not make operation because of customer shipping address is not set.","Can not make operation because of customer shipping address is not set."
"Can not set shipping method.","Can not set shipping method."
"Payment method is not set.","Payment method is not set."
"Unable to generate credit memo for order #%1. ","Unable to generate credit memo for order #%1. "
"Credit Memo","Credit Memo"
